Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population (2023),GDP per capita,Share of World GDP per
Burkina Faso,20324617845.0,20325000000.0,2.96,23025776,883.0,0.019
Haiti,19850829758.0,19851000000.0,-1.86,11637398,1706.0,0.019
Benin,19676049076.0,19676000000.0,6.35,14111034,1394.0,0.019
Jamaica,19423355409.0,19423000000.0,2.2,2839786,6840.0,0.018
Botswana,19396084498.0,19396000000.0,2.73,2480244,7820.0,0.018
Gabon,19388402542.0,19388000000.0,2.45,2484789,7803.0,0.018
Nicaragua,17829218219.0,17829000000.0,4.57,6823613,2613.0,0.017
State of Palestine,17420800000.0,17421000000.0,-5.41,5409202,3221.0,0.016
Afghanistan,17233051620.0,17233000000.0,2.71,41454761,416.0,0.016
Guyana,17159509565.0,17160000000.0,33.8,826353,20765.0,0.016
Niger,16819170421.0,16819000000.0,2.5,26159867,643.0,0.016
Moldova,16539436547.0,16539000000.000002,0.78,3067070,5393.0,0.016
Laos,15843155731.0,15843000000.0,3.75,7664993,2067.0,0.015
Madagascar,15790113247.0,15790000000.0,3.8,31195932,506.0,0.015
North Macedonia,15763621848.0,15764000000.0,2.07,1831802,8606.0,0.015
Congo,15321055823.0,15321000000.0,1.91,6182885,2478.0,0.014
Brunei,15128292981.0,15128000000.0,1.41,458949,32963.0,0.014
Mauritius,14644524819.0,14645000000.0,6.96,1273588,11499.0,0.014
Bahamas,14338500000.0,14338000000.0,2.64,399440,35897.0,0.014
Rwanda,14097768472.0,14098000000.0,8.24,13954471,1010.0,0.013
Kyrgyzstan,13987627909.0,13988000000.0,6.15,7073516,1977.0,0.013
Chad,13149325362.0,13149000000.0,4.12,19319064,681.0,0.012
Malawi,12712150082.0,12712000000.0,1.89,21104482,602.0,0.012
Namibia,12351025067.0,12351000000.0,4.16,2963095,4168.0,0.012
Equatorial Guinea,12337550584.0,12338000000.0,-5.09,1847549,6678.0,0.012
Tajikistan,12060602009.0,12061000000.0,8.3,10389799,1161.0,0.011
Mauritania,10651709411.0,10652000000.0,6.51,5022441,2121.0,0.01
Togo,9171261838.0,9171000000.0,6.41,9304337,986.0,0.0086
Montenegro,7530593375.0,7531000000.0,6.34,633552,11886.0,0.0071
Barbados,6720733200.0,6721000000.0,4.09,282336,23804.0,0.0063
Maldives,6590894302.0,6591000000.0,4.73,525994,12530.0,0.0062
Sierra Leone,6411869546.0,6412000000.0,5.71,8460512,758.0,0.006
Fiji,5442046565.0,5442000000.0,7.52,924145,5889.0,0.0051
Eswatini,4442875788.0,4443000000.0,5.01,1230506,3611.0,0.0042
Liberia,4240000000.0,4240000000.0,4.68,5493031,772.0,0.004
Andorra,3785067332.0,3785000000.0,2.58,80856,46812.0,0.0036
Aruba,3648573136.0,3649000000.0,4.26,107939,33802.0,0.0034
Suriname,3455146281.0,3455000000.0,2.54,628886,5494.0,0.0033
Belize,3066850000.0,3067000000.0,1.15,411106,7460.0,0.0029
Burundi,2642161669.0,2642000000.0,2.7,13689450,193.0,0.0025
Central African Republic,2555492085.0,2555000000.0,0.87,5152421,496.0,0.0024
Cabo Verde,2533819406.0,2534000000.0,5.48,522331,4851.0,0.0024
Saint Lucia,2430148148.0,2430000000.0,2.21,179285,13555.0,0.0023
Gambia,2396111022.0,2396000000.0,4.8,2697845,888.0,0.0023
Seychelles,2141450171.0,2141000000.0,3.16,127951,16736.0,0.002
Lesotho,2117962451.0,2118000000.0,1.83,2311472,916.0,0.002
Timor-Leste,2079916900.0,2080000000.0,-18.12,1384286,1503.0,0.002
Guinea-Bissau,2048348108.0,2048000000.0,5.2,2153339,951.0,0.0019
Antigua and Barbuda,2033085185.0,2033000000.0,3.86,93316,21787.0,0.0019
Solomon Islands,1633319401.0,1633000000.0,3.08,800005,2042.0,0.0015
Comoros,1352380971.0,1352000000.0,3.0,850387,1590.0,0.0013
Grenada,1316733333.0,1317000000.0,3.57,117081,11246.0,0.0012
Vanuatu,1126313359.0,1126000000.0,2.21,320409,3515.0,0.0011
St. Vincent & Grenadines,1065962963.0,1066000000.0,6.02,101323,10520.0,0.001
Saint Kitts & Nevis,1055499778.0,1054999999.9999999,2.28,46758,22574.0,0.00099
Samoa,938189444.0,938189000.0,8.58,216663,4330.0,0.00088
Sao Tome & Principe,678976265.0,678976000.0,0.37,230871,2941.0,0.00064
Dominica,653992593.0,653993000.0,4.71,66510,9833.0,0.00062
Micronesia,460000000.0,460000000.0,0.78,112630,4084.0,0.00043
Palau,281849063.0,281849000.0,1.88,17727,15899.0,0.00027
Kiribati,279208903.0,279209000.0,4.12,132530,2107.0,0.00026
Marshall Islands,259300000.0,259300000.0,-3.93,38827,6678.0,0.00024
Tuvalu,62280312.0,62280000.0,3.85,9816,6345.0,5.9e-05
